entity,gProfiler_status,gProfiler_ID,bioDBnet_status,DAVID_status,category,MetaboAnalyst_status,CTS_status,CTS_ID
bile acidds,,,failed/no_data,,chemical,failed/no_data,not_mapped,
lysophoatidylcholine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
adenne,,,failed/no_data,,chemical,failed/no_data,not_mapped,
xanhtine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
uracill,,,failed/no_data,,chemical,failed/no_data,not_mapped,
histiddine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ornithinee,,,failed/no_data,,chemical,failed/no_data,not_mapped,
putrescne,,,failed/no_data,,chemical,failed/no_data,not_mapped,
sperrmine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
hypoxnthine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
malicc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
cysttin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
hydroxyprolin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
3-hydroxybutyrrate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
levulinc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
nicotinammide adenine dinucleotid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
tetrahydrobiooterin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
folicc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
retinoll,,,failed/no_data,,chemical,failed/no_data,not_mapped,
bilirubinn,,,failed/no_data,,chemical,failed/no_data,not_mapped,
stearicc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
palmiticc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
linoleicc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
arachidonnic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
thiaminn,,,failed/no_data,,chemical,failed/no_data,not_mapped,
pyrdoxine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
biottin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
riboflvin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
pantothenic aciid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ubiquinoon,,,failed/no_data,,chemical,failed/no_data,not_mapped,
cytochrome c oxidse,,,failed/no_data,,chemical,failed/no_data,not_mapped,
heme grroup,,,failed/no_data,,chemical,failed/no_data,not_mapped,
acetlycholine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
dopaminne,,,failed/no_data,,chemical,failed/no_data,not_mapped,
noradrenalinne,,,failed/no_data,,chemical,failed/no_data,not_mapped,
epinephrinee,,,failed/no_data,,chemical,failed/no_data,not_mapped,
serotonnin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
melattonin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
gamma-amino butyrate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
glutatmate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
acetaldehyyde,,,failed/no_data,,chemical,failed/no_data,not_mapped,
methanolll,,,failed/no_data,,chemical,failed/no_data,not_mapped,
acettic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
propanoic aciid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
butryic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
valericc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
caproic accid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
succinicc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
oxalacettic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
acetoaccetic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
alpha-linolennic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
eicosapenntaenoic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
docosahexxaenoic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
N-acetylglucossamine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
glucurronic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
sialicc acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
galactosamine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
inosittol,,,failed/no_data,,chemical,failed/no_data,not_mapped,
deoxyrybose,,,failed/no_data,,chemical,failed/no_data,not_mapped,
glutamte semialdehyd,,,failed/no_data,,chemical,failed/no_data,not_mapped,
hydroxyureaa,,,failed/no_data,,chemical,failed/no_data,not_mapped,
adenosin mono phsphate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
cytidne,,,failed/no_data,,chemical,failed/no_data,not_mapped,
phosophocreatinee,,,failed/no_data,,chemical,failed/no_data,not_mapped,
sphingomylin,,,failed/no_data,,chemical,failed/no_data,not_mapped,
phosphatdylserine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
inosinne,,,failed/no_data,,chemical,failed/no_data,not_mapped,
cystiene,,,failed/no_data,,chemical,failed/no_data,not_mapped,
hydroxybutrate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
benzpyrene,,,failed/no_data,,chemical,failed/no_data,not_mapped,
carboxlyic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
methylhistdine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
uriddine,,,failed/no_data,,chemical,failed/no_data,not_mapped,
pantotennate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
ribullose,,,failed/no_data,,chemical,failed/no_data,not_mapped,
sodum lactate,,,failed/no_data,,chemical,failed/no_data,not_mapped,
mannnitol,,,failed/no_data,,chemical,failed/no_data,not_mapped,
phenyllactic acid,,,failed/no_data,,chemical,failed/no_data,not_mapped,
