Input Entity,Entity Type,Resolved Name,InChIKey,InChIKey Link,SMILES,SMILES Link,PubChem CID,PubChem Link,ChEMBL ID,ChEMBL Link,ChemSpider ID,ChemSpider Link,RefSeq,GenBank,GenBank Link,Gene Link,Protein Link,Ensembl,Ensembl Link,UniProt,UniProt Link,CCDS,InterPro,InterPro Link,Validation Issues,KEGG
keratin type I cytoskelton 10,protein,Keratin 10,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2988009923,,,P02533,https://www.uniprot.org/uniprot/P02533,,G3DSA:1.20.5.1160,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.20.5.1160/,,
fibronectn,protein,Fibronectin,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989117919,,,P02751,https://www.uniprot.org/uniprot/P02751,,cd00061,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00061/,,
collgen type I alpha 1,protein,Collagen Type I Alpha 1,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/89363017,,,P11087,https://www.uniprot.org/uniprot/P11087,,G3DSA:2.10.70.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:2.10.70.10/,,
G-protein coupled receptar 30,protein,G-protein-coupled receptor 30,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2988786996,,,Q5T601,https://www.uniprot.org/uniprot/Q5T601,,cd15932,https://www.ebi.ac.uk/interpro/entry/InterPro/cd15932/,,
cytokrin inducible SH2-containing protein,protein,CIS (Cytokine-Inducible SH2-containing protein),,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2973724131,,,Q9NSE2,https://www.uniprot.org/uniprot/Q9NSE2,,cd03734,https://www.ebi.ac.uk/interpro/entry/InterPro/cd03734/,,
calmodlin,protein,**calmodulin**,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989716144,,,Q9NZT1,https://www.uniprot.org/uniprot/Q9NZT1,,G3DSA:1.10.238.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.10.238.10/,,
caspase 3,protein,Caspase-3,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/74096363,,,Q8MKI5,https://www.uniprot.org/uniprot/Q8MKI5,,cd00032,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00032/,,
ribosomal protin L5,protein,Ribosomal protein L5,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2524161048,,,P62399,https://www.uniprot.org/uniprot/P62399,,G3DSA:3.30.1440.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:3.30.1440.10/,,
metlloproteinase 9,protein,Matrix Metalloproteinase 9,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987546496,,,Q99542,https://www.uniprot.org/uniprot/Q99542,,cd00094,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00094/,,
tumor necrosis facor,protein,Tumor Necrosis Factor,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989118647,,,P01375,https://www.uniprot.org/uniprot/P01375,,cd00184,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00184/,,
tropomysoin alpha 3,protein,Tropomyosin alpha-3,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987564176,,,P06753,https://www.uniprot.org/uniprot/P06753,,G3DSA:1.20.5.170,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.20.5.170/,,
aldhdehyde dehydrogenase 2,protein,Aldehyde Dehydrogenase 2,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989759822,,,P23883,https://www.uniprot.org/uniprot/P23883,,cd07112,https://www.ebi.ac.uk/interpro/entry/InterPro/cd07112/,,
neurofilamnt heavy polypeptde,protein,Neurofilament Heavy Polypeptide,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987551125,,,P12036,https://www.uniprot.org/uniprot/P12036,,G3DSA:1.20.5.1160,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.20.5.1160/,,
apolipoprtein E,protein,Apolipoprotein E,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989659654,,,P02649,https://www.uniprot.org/uniprot/P02649,,G3DSA:1.20.120.20,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.20.120.20/,,
glutamte receptor 1,protein,Glutamate Receptor 1,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2944339006,,,P41594,https://www.uniprot.org/uniprot/P41594,,cd06374,https://www.ebi.ac.uk/interpro/entry/InterPro/cd06374/,,
nephrin protin,protein,Nephrin Protein,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987636277,,,O60500,https://www.uniprot.org/uniprot/O60500,,cd00063,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00063/,,
dopmine transporter,protein,Dopamine Transporter,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/1624687110,,,Q01959,https://www.uniprot.org/uniprot/Q01959,,cd11514,https://www.ebi.ac.uk/interpro/entry/InterPro/cd11514/,,
hypoxanthne phosphoribosyltransfrase,protein,Hypoxanthine-guanine phosphoribosyltransferase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989715782,,,Q07010,https://www.uniprot.org/uniprot/Q07010,,cd06223,https://www.ebi.ac.uk/interpro/entry/InterPro/cd06223/,,
spermidn synthase,protein,Spermidine synthase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/517608668,,,P52788,https://www.uniprot.org/uniprot/P52788,,cd02440,https://www.ebi.ac.uk/interpro/entry/InterPro/cd02440/,,
heat shock protien 90,protein,Heat Shock Protein 90,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989653193,,,P04792,https://www.uniprot.org/uniprot/P04792,,cd06475,https://www.ebi.ac.uk/interpro/entry/InterPro/cd06475/,,
creatnine kinase M-type,protein,Creatine Kinase M-type,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987535963,,,P06732,https://www.uniprot.org/uniprot/P06732,,cd00716,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00716/,,
phosphatidylinositl 3-kinase,protein,Phosphatidylinositol 3-kinase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2988600125,,,Q8NEB9,https://www.uniprot.org/uniprot/Q8NEB9,,cd00870,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00870/,,
histone lysin methyltranferase,protein,Histone Lysine Methyltransferase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2988699484,,,Q15910,https://www.uniprot.org/uniprot/Q15910,,cd00167,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00167/,,
bradykinin receptar B2,protein,Bradykinin Receptor B2,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987575008,,,P25023,https://www.uniprot.org/uniprot/P25023,,cd15381,https://www.ebi.ac.uk/interpro/entry/InterPro/cd15381/,,
tyrosinase relatd protein 1,protein,Tyrosinase-related protein 1,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987584636,,,P17643,https://www.uniprot.org/uniprot/P17643,,G3DSA:1.10.1280.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.10.1280.10/,,
angiotensin converting enyme,protein,Angiotensin-converting enzyme (ACE),,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/1698267282,,,P12821,https://www.uniprot.org/uniprot/P12821,,cd06461,https://www.ebi.ac.uk/interpro/entry/InterPro/cd06461/,,
catechol-O-methytransfrase,protein,Catechol-O-methyltransferase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989503089,,,P21964,https://www.uniprot.org/uniprot/P21964,,cd02440,https://www.ebi.ac.uk/interpro/entry/InterPro/cd02440/,,
superoxde dismutase 1,protein,Superoxide Dismutase 1,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989117508,,,P00441,https://www.uniprot.org/uniprot/P00441,,cd00305,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00305/,,
prolactin receptar,protein,Prolactin Receptor,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/118344622,,,P01236,https://www.uniprot.org/uniprot/P01236,,cd10288,https://www.ebi.ac.uk/interpro/entry/InterPro/cd10288/,,
low density lipoportein receptor,protein,Low-density lipoprotein receptor (LDLR),,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2787011727,,,P01130,https://www.uniprot.org/uniprot/P01130,,cd00054,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00054/,,
phosphoenolpyruvte carboxykinase,protein,Phosphoenolpyruvate carboxykinase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989120070,,,P20007,https://www.uniprot.org/uniprot/P20007,,cd00819,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00819/,,
aldose reductse,protein,Aldose Reductase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2314468879,,,Q6IMN8,https://www.uniprot.org/uniprot/Q6IMN8,,cd19071,https://www.ebi.ac.uk/interpro/entry/InterPro/cd19071/,,
vascular endothelal growth factor A,protein,Vascular Endothelial Growth Factor,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2967458218,,,P67860,https://www.uniprot.org/uniprot/P67860,,cd00135,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00135/,,
neurotrophin 3,protein,Neurotrophin-3,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2821198129,,,P20783,https://www.uniprot.org/uniprot/P20783,,G3DSA:2.10.90.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:2.10.90.10/,,
gamma amino butyric acid receptar,protein,Gamma-aminobutyric acid receptor,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987880524,,,P28473,https://www.uniprot.org/uniprot/P28473,,cd19000,https://www.ebi.ac.uk/interpro/entry/InterPro/cd19000/,,
kallkrien-related peptidase 3,protein,Kallikrein-related peptidase 3,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2979394523,,,Q61759,https://www.uniprot.org/uniprot/Q61759,,cd00190,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00190/,,
deiodnase type 2,protein,Deiodinase type 2,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/209954618,,,Q92813,https://www.uniprot.org/uniprot/Q92813,,G3DSA:3.40.30.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:3.40.30.10/,,
brain derivd neurotrophic factor,protein,Brain-Derived Neurotrophic Factor,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987573815,,,P14082,https://www.uniprot.org/uniprot/P14082,,G3DSA:2.10.90.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:2.10.90.10/,,
ferritin light chainn,protein,Ferritin Light Chain,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2591514022,,,P02792,https://www.uniprot.org/uniprot/P02792,,cd00904,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00904/,,
amyloid precusor protein,protein,Amyloid Precursor Protein,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2065436664,,,P29216,https://www.uniprot.org/uniprot/P29216,,cd22607,https://www.ebi.ac.uk/interpro/entry/InterPro/cd22607/,,
somatosttin receptor 2,protein,Somatostatin Receptor 2,,,,,,,,,,,,,,,,,,P61278,https://www.uniprot.org/uniprot/P61278,,IPR004250,https://www.ebi.ac.uk/interpro/entry/InterPro/IPR004250/,,
monoamine oxiase A,protein,Monoamine oxidase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2633135052,,,P21397,https://www.uniprot.org/uniprot/P21397,,G3DSA:1.10.405.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.10.405.10/,,
telomrase reverse transcripase,protein,Telomerase Reverse Transcriptase,,,,,,,,,,,,,,,,,,O77448,https://www.uniprot.org/uniprot/O77448,,cd01648,https://www.ebi.ac.uk/interpro/entry/InterPro/cd01648/,,
B-cell lymphoma 2-like protein 11,protein,BCL2-like protein 11,,,,,,,,,,,,,,,,,,O43521,https://www.uniprot.org/uniprot/O43521,,IPR014771,https://www.ebi.ac.uk/interpro/entry/InterPro/IPR014771/,,
acid sphingomyelnase,protein,Acid Sphingomyelinase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2988780019,,,P17405,https://www.uniprot.org/uniprot/P17405,,cd00842,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00842/,,
cytochome c oxidase subunit 1,protein,Cytochrome c oxidase subunit 1,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989119210,,,P00424,https://www.uniprot.org/uniprot/P00424,,cd00922,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00922/,,
glutathione peroxidse 4,protein,Glutathione peroxidase 4,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989641548,,,Q9N2J2,https://www.uniprot.org/uniprot/Q9N2J2,,cd00340,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00340/,,
interferon regulatory factor 3,protein,Interferon Regulatory Factor 3,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987575173,,,Q14653,https://www.uniprot.org/uniprot/Q14653,,cd00103,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00103/,,
keratn 18,protein,Keratin 18,,,,,,,,,,,,,,,,,,Q9NSB4,https://www.uniprot.org/uniprot/Q9NSB4,,G3DSA:1.20.5.1160,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.20.5.1160/,,
tumor suppressar PTEN,gene,PTEN,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/gene/141473949,,ENSG00000171862,https://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000171862,,,,,,,
signal transdcer and activator of transcription 1,protein,Signal Transducer and Activator of Transcription 1,,,,,,,,,,,,,,,,,,P51692,https://www.uniprot.org/uniprot/P51692,,cd10420,https://www.ebi.ac.uk/interpro/entry/InterPro/cd10420/,,
mannose-binding lectn,protein,Mannose-binding lectin,,,,,,,,,,,,,,,,,,P11226,https://www.uniprot.org/uniprot/P11226,,cd03591,https://www.ebi.ac.uk/interpro/entry/InterPro/cd03591/,,
DNA damage inducbl transcript 4,gene,DDIT4,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/gene/141469364,,ENSG00000168209,https://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000168209,,,,,,,
protein kinase CAMP-activated,protein,Protein Kinase,,,,,,,,,,,,,,,,,,P19525,https://www.uniprot.org/uniprot/P19525,,cd14047,https://www.ebi.ac.uk/interpro/entry/InterPro/cd14047/,,
glycogen phsphorylase,protein,Glycogen Phosphorylase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2734837368,,,P00489,https://www.uniprot.org/uniprot/P00489,,cd04300,https://www.ebi.ac.uk/interpro/entry/InterPro/cd04300/,,
pyruvte kinase M2,protein,Pyruvate Kinase M2,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989269349,,,P14618,https://www.uniprot.org/uniprot/P14618,,cd00288,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00288/,,
zinc finger protin 36,protein,Zinc Finger Protein 36,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989721495,,,Q9ULU4,https://www.uniprot.org/uniprot/Q9ULU4,,cd05508,https://www.ebi.ac.uk/interpro/entry/InterPro/cd05508/,,
TNF receptor superfamily membr 1A,protein,Tumor Necrosis Factor Receptor Superfamily Member 1A,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987540077,,,P19438,https://www.uniprot.org/uniprot/P19438,,cd08313,https://www.ebi.ac.uk/interpro/entry/InterPro/cd08313/,,
follisttin,protein,**follistatin**,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987639336,,,O95633,https://www.uniprot.org/uniprot/O95633,,cd00104,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00104/,,
collagen typ II alpha 1,protein,Collagen type II alpha 1 chain,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/89363017,,,P28481,https://www.uniprot.org/uniprot/P28481,,G3DSA:2.10.70.10,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:2.10.70.10/,,
myosn light chain kinase,protein,Myosin Light Chain Kinase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987568347,,,Q15746,https://www.uniprot.org/uniprot/Q15746,,cd00063,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00063/,,
tumor necrosis facor ligand superfamily member 10,gene,TNFSF10,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/gene/141468399,,ENSG00000121858,https://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000121858,,,,,,,
dual specificit phosphatase 6,protein,Dual-specificity phosphatase 6,,,,,,,,,,,,,,,,,,Q9D0T2,https://www.uniprot.org/uniprot/Q9D0T2,,cd14520,https://www.ebi.ac.uk/interpro/entry/InterPro/cd14520/,,
amyloid beta precurssor,protein,Amyloid Beta Precursor Protein (APP),,,,,,,,,,,,,,,,,,P53601,https://www.uniprot.org/uniprot/P53601,,cd22607,https://www.ebi.ac.uk/interpro/entry/InterPro/cd22607/,,
acetylchlinesterase,protein,Acetylcholinesterase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987604076,,,P22303,https://www.uniprot.org/uniprot/P22303,,cd00312,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00312/,,
dipeptdyl peptidase 4,protein,Dipeptidyl peptidase 4,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989597970,,,P53634,https://www.uniprot.org/uniprot/P53634,,cd02621,https://www.ebi.ac.uk/interpro/entry/InterPro/cd02621/,,
prohibtn,protein,Prohibitin,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2183762137,,,P35232,https://www.uniprot.org/uniprot/P35232,,cd03401,https://www.ebi.ac.uk/interpro/entry/InterPro/cd03401/,,
beta-catenin interactng protein 1,protein,Beta-catenin-interacting protein 1,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987559093,,,Q9NSA3,https://www.uniprot.org/uniprot/Q9NSA3,,G3DSA:1.10.10.490,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.10.10.490/,,
succinte dehydrogenase subunit B,protein,Succinate Dehydrogenase Subunit B,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/1679242665,,,P33421,https://www.uniprot.org/uniprot/P33421,,cd03499,https://www.ebi.ac.uk/interpro/entry/InterPro/cd03499/,,
forkead box O3,protein,** Forkhead box protein O3,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987575604,,,A0A6I9LQN5,https://www.uniprot.org/uniprot/A0A6I9LQN5,,,,,
DNA methyltranferase 1,protein,DNA Methyltransferase 1,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989723457,,,P13864,https://www.uniprot.org/uniprot/P13864,,cd04711,https://www.ebi.ac.uk/interpro/entry/InterPro/cd04711/,,
histne H3.3,protein,Histone H3.3,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2971327083,,,P50564,https://www.uniprot.org/uniprot/P50564,,cd22911,https://www.ebi.ac.uk/interpro/entry/InterPro/cd22911/,,
lactate dehydrognase A,protein,Lactate dehydrogenase,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2227770965,,,Q83017,https://www.uniprot.org/uniprot/Q83017,,cd17937,https://www.ebi.ac.uk/interpro/entry/InterPro/cd17937/,,
growth differtiation factor 15,protein,Growth Differentiation Factor 15,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987563369,,,Q7Z4P5,https://www.uniprot.org/uniprot/Q7Z4P5,,cd13766,https://www.ebi.ac.uk/interpro/entry/InterPro/cd13766/,,
cytokeratn 5,protein,Cytokeratin 5,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/939699129,,,P13647,https://www.uniprot.org/uniprot/P13647,,G3DSA:1.20.5.1160,https://www.ebi.ac.uk/interpro/entry/InterPro/G3DSA:1.20.5.1160/,,
complement C3b receptor 1,protein,Complement Component 3b Receptor 1 (CR1),,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/302565027,,,A0A2I3RSN6,https://www.uniprot.org/uniprot/A0A2I3RSN6,,,,,
sarcoplasmic retculum calcium ATPase 2,protein,Sarcoplasmic Reticulum Calcium ATPase 2 (SERCA2),,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/61557424,,,Q00779,https://www.uniprot.org/uniprot/Q00779,,cd02083,https://www.ebi.ac.uk/interpro/entry/InterPro/cd02083/,,
urokinase plasminogn activator,protein,Urokinase Plasminogen Activator,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987542555,,,P29598,https://www.uniprot.org/uniprot/P29598,,cd00108,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00108/,,
RNA polymerse II subunit A,protein,RNA Polymerase II Subunit,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2989759061,,,P24928,https://www.uniprot.org/uniprot/P24928,,cd02584,https://www.ebi.ac.uk/interpro/entry/InterPro/cd02584/,,
C-reactve protein,protein,C-reactive protein,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2211988322,,,P02741,https://www.uniprot.org/uniprot/P02741,,cd00152,https://www.ebi.ac.uk/interpro/entry/InterPro/cd00152/,,
CD44 antigen,gene,CD44,,,,,,,,,,,,,,,https://www.ncbi.nlm.nih.gov/protein/2987573717,ENSG00000026508,https://www.ensembl.org/Homo_sapiens/Gene/Summary?g=ENSG00000026508,,,,,,,
co1,chemical,sulfur,NINIDFKCEFEMDL-UHFFFAOYSA-N,https://pubchem.ncbi.nlm.nih.gov/compound/NINIDFKCEFEMDL-UHFFFAOYSA-N,[S],https://pubchem.ncbi.nlm.nih.gov/compound/5362487,5362487,https://pubchem.ncbi.nlm.nih.gov/compound/5362487,CHEMBL1909055,https://www.ebi.ac.uk/chembl/compound_report_card/CHEMBL1909055/,,,,,,,,,,,,,,,,
actin gamma 1,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
tubulin alpha 1a,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
elastse,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
ubiqutin C,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
integrn beta 1,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
arrestn beta 2,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
dopamne beta hydroxylse,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
serotonin recptor 2A,Not found,Not found,,,,,,,,,,,,,,,,,,,,,,,No IDs found,
