Compound,PubChem_CID,PubChem_InChIKey,PubChem_SMILES,ChEMBL_ID,ChEMBL_SMILES,ChEMBL_InChIKey,KEGG_ID,ChemSpider_ID,ChemSpider_SMILES,ChemSpider_InChIKey,ChemSpider_InChI,ChemSpider_Formula,ChemSpider_Mass
eicosapenntaenoic acid,,,,,,,,,,,,,
docosahexxaenoic acid,,,,,,,,,,,,,
glucurronic acid,,,,,,,,,,,,,
galactosamine,24154,MSWZFWKMSRAUBD-GASJEMHNSA-N,C(C1C(C(C(C(O1)O)N)O)O)O,CHEMBL2092918,N[C@H]1[C@@H](OP(=O)(O)OP(=O)(O)OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@H](O)[C@@H]1O,CYKLRRKFBPBYEI-KBQKSTHMSA-N,C00203,,,,,,
inosittol,,,,,,,,,,,,,
deoxyrybose,,,,,,,,,,,,,
hydroxyureaa,,,,,,,,,,,,,
adenosin mono phsphate,,,,,,,,,,,,,
cytidne,,,,,,,,,,,,,
phosophocreatinee,,,,,,,,,,,,,
sphingomylin,,,,,,,,,,,,,
phosphatdylserine,,,,,,,,,,,,,
inosinne,,,,,,,,,,,,,
cystiene,,,,,,,,,,,,,
benzpyrene,2336,FMMWHPNWAFZXNH-UHFFFAOYSA-N,C1=CC=C2C3=C4C(=CC2=C1)C=CC5=C4C(=CC=C5)C=C3,,,,C07535,,,,,,
carboxlyic acid,,,,,,,,,,,,,
pantotennate,,,,,,,,,,,,,
ribullose,,,,,,,,,,,,,
sodum lactate,,,,,,,,,,,,,
mannnitol,,,,,,,,,,,,,
phenyllactic acid,1303,NWCHELUCVWSRRS-UHFFFAOYSA-N,CC(C1=CC=CC=C1)(C(=O)O)O,,,,C01207,,,,,,
cholstrerol,,,,,,,,,,,,,
cretnine,,,,,,,,,,,,,
hydrogen perooxide,,,,,,,,,,,,,
glutathion,124886,RWSXRVCMGQZWBV-WDSKDSINSA-N,C(CC(=O)NC(CS)C(=O)NCC(=O)O)C(C(=O)O)N,CHEMBL63507,N[C@@H](CCC(=O)N[C@@H](CSN=O)C(=O)NCC(=O)O)C(=O)O,HYHSBSXUHZOYLX-WDSKDSINSA-N,C00051,,,,,,
methiunine,,,,,,,,,,,,,
alpha-ketoglotarate,,,,,,,,,,,,,
seryne,,,,,,,,,,,,,
ribos-5-phospahe,,,,,,,,,,,,,
bile acidds,,,,,,,,,,,,,
Methanolle,,,,,,,,,,,,,
Xylenne,,,,,,,,,,,,,
Styrenee,,,,,,,,,,,,,
Chloroformm,,,,,,,,,,,,,
Hexanee,,,,,,,,,,,,,
Ethanul,,,,,,,,,,,,,
